"","X1","X2","cx","cy","test1","test2","rx","ry","angle"
"1",1,2,0,0,"AVLT-total_1_to_5","AVLT-delayed_recall_1_to_5",2.61873972566341,1.08768260866965,40.409121250274
"2",1,3,0,0,"AVLT-total_1_to_5","AVLT-recognition_1_to_5",2.61378913022958,1.43951454569072,34.0925482268602
"3",1,4,0,0,"AVLT-total_1_to_5","RBMT-prose_1_plus_pr2_immrec",2.55062200210592,1.56805290017436,31.5645851905178
"4",1,5,0,0,"AVLT-total_1_to_5","RBMT-prose_1_plus_pr2_delrec",2.42405595219986,1.59912095503852,33.4896518103156
"5",1,6,0,0,"AVLT-total_1_to_5","TMT-a",2.07475691142412,1.81370367217734,31.5650934562505
"6",1,7,0,0,"AVLT-total_1_to_5","TMT-b",2.10316555221025,1.70977432243103,40.9512538238686
"7",1,8,0,0,"AVLT-total_1_to_5","Stroop-card_I_c",2.37414495803118,1.81928232783809,19.4459808409087
"8",1,9,0,0,"AVLT-total_1_to_5","Stroop-card_II_w",2.38419655093568,1.76038889153694,25.1999867116625
"9",1,10,0,0,"AVLT-total_1_to_5","Stroop-card_III_cw",2.28407535998333,1.73869526817152,29.8831293636733
"10",1,11,0,0,"AVLT-total_1_to_5","LF-total_letter_123",2.41808640326726,1.72932081031942,26.7103477660078
"11",1,12,0,0,"AVLT-total_1_to_5","SF-Animals",2.36048926390967,1.75460702897377,26.2875984502229
"12",1,13,0,0,"AVLT-total_1_to_5","SF-Occupations",2.37523921916839,1.76734005483423,24.8334291857195
"13",1,14,0,0,"AVLT-total_1_to_5","MMSE-total",2.55399975314769,1.73290465370488,23.6119806201927
"14",1,15,0,0,"AVLT-total_1_to_5","BNT-LongVersion",2.27556677555863,1.71144689775506,32.1989062242791
"15",2,1,0,0,"AVLT-delayed_recall_1_to_5","AVLT-total_1_to_5",2.61873972566341,1.08768260866965,49.590878749726
"16",2,3,0,0,"AVLT-delayed_recall_1_to_5","AVLT-recognition_1_to_5",2.74630007288287,1.50579975973029,40.290398921837
"17",2,4,0,0,"AVLT-delayed_recall_1_to_5","RBMT-prose_1_plus_pr2_immrec",2.53512808453288,1.85555634582825,35.98413888652
"18",2,5,0,0,"AVLT-delayed_recall_1_to_5","RBMT-prose_1_plus_pr2_delrec",2.48219853220151,1.78253381374221,41.2218279717803
"19",2,6,0,0,"AVLT-delayed_recall_1_to_5","TMT-a",2.17927984506816,1.93658923652131,58.282525588539
"20",2,7,0,0,"AVLT-delayed_recall_1_to_5","TMT-b",2.20078354620364,1.84626287905229,59.4687653722053
"21",2,8,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_I_c",2.36480797064918,2.06386457749576,23.6012990808829
"22",2,9,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_II_w",2.37423968611788,2.01292061889234,31.0343493074991
"23",2,10,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_III_cw",2.32116461507735,1.93849363618162,41.4901291383982
"24",2,11,0,0,"AVLT-delayed_recall_1_to_5","LF-total_letter_123",2.41978358425544,1.97176088464005,33.0544537992263
"25",2,12,0,0,"AVLT-delayed_recall_1_to_5","SF-Animals",2.41718847094128,1.92698120106667,36.6814915169893
"26",2,13,0,0,"AVLT-delayed_recall_1_to_5","SF-Occupations",2.40936280490233,1.96614454051808,34.0330574794685
"27",2,14,0,0,"AVLT-delayed_recall_1_to_5","MMSE-total",2.58954034189914,1.93019567861555,30.0555798804929
"28",2,15,0,0,"AVLT-delayed_recall_1_to_5","BNT-LongVersion",2.30694714606349,1.92113267664938,43.8335088490151
"29",3,1,0,0,"AVLT-recognition_1_to_5","AVLT-total_1_to_5",2.61378913022958,1.43951454569072,55.9074517731399
"30",3,2,0,0,"AVLT-recognition_1_to_5","AVLT-delayed_recall_1_to_5",2.74630007288287,1.50579975973029,49.709601078163
"31",3,4,0,0,"AVLT-recognition_1_to_5","RBMT-prose_1_plus_pr2_immrec",2.70605243036325,1.84675080567123,44.5579380259323
"32",3,5,0,0,"AVLT-recognition_1_to_5","RBMT-prose_1_plus_pr2_delrec",2.62627198235754,1.81787688297994,48.7655119152717
"33",3,6,0,0,"AVLT-recognition_1_to_5","TMT-a",2.32659771105636,1.98741695213391,76.7703302366453
"34",3,7,0,0,"AVLT-recognition_1_to_5","TMT-b",2.34313314897472,1.90397122314764,73.3092621763973
"35",3,8,0,0,"AVLT-recognition_1_to_5","Stroop-card_I_c",2.38920765182557,2.23758464987075,43.2733418747345
"36",3,9,0,0,"AVLT-recognition_1_to_5","Stroop-card_II_w",2.43779133171458,2.14692372121315,47.5972144538674
