"X1","X2","cx","cy","test1","test2","rx","ry","angle"
2,1,0,0,"AVLT-delayed_recall_1_to_5","AVLT-total_1_to_5",2.618955268707,1.09821273385721,40.3291925070267
3,1,0,0,"AVLT-recognition_1_to_5","AVLT-total_1_to_5",2.61704487248925,1.44616455855671,33.9305419674567
3,2,0,0,"AVLT-recognition_1_to_5","AVLT-delayed_recall_1_to_5",2.53705168292594,1.84966460893087,36.562484345534
4,1,0,0,"RBMT-prose_1_immrec","AVLT-total_1_to_5",2.64035191456117,1.75831712935917,20.6390876582381
4,2,0,0,"RBMT-prose_1_immrec","AVLT-delayed_recall_1_to_5",2.71219174236821,1.90387182474958,28.8106158217935
4,3,0,0,"RBMT-prose_1_immrec","AVLT-recognition_1_to_5",2.71167979475189,2.12198552067007,33.4007047431759
5,1,0,0,"RBMT-prose_1_delrec","AVLT-total_1_to_5",2.63897708252228,1.66159065762529,26.087767675185
5,2,0,0,"RBMT-prose_1_delrec","AVLT-delayed_recall_1_to_5",2.64208139340654,1.91365202649836,29.9918190124729
5,3,0,0,"RBMT-prose_1_delrec","AVLT-recognition_1_to_5",2.52334817573989,2.26951317216931,24.915209979145
5,4,0,0,"RBMT-prose_1_delrec","RBMT-prose_1_immrec",2.66229092156475,2.35648141700516,51.3621778427112
6,1,0,0,"RBMT-prose_2_immrec","AVLT-total_1_to_5",2.56556723370918,1.84131800708803,13.8641287111595
6,2,0,0,"RBMT-prose_2_immrec","AVLT-delayed_recall_1_to_5",2.61147473844042,2.01751370174213,23.0337498418701
6,3,0,0,"RBMT-prose_2_immrec","AVLT-recognition_1_to_5",2.63553715610546,2.1953185718184,30.4805964586033
6,4,0,0,"RBMT-prose_2_immrec","RBMT-prose_1_immrec",2.73007170804405,2.33131074011973,46.2857179411585
6,5,0,0,"RBMT-prose_2_immrec","RBMT-prose_1_delrec",2.71454407535761,2.27629039370238,41.7513212678142
7,1,0,0,"RBMT-prose_2_delrec","AVLT-total_1_to_5",2.41108519606933,1.77684195913661,23.3288072975549
7,2,0,0,"RBMT-prose_2_delrec","AVLT-delayed_recall_1_to_5",2.4887734154659,1.92199913351807,34.381911009664
